sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","search_et","api_lt","search_lt","api_index_et","api_index_lt","savedsearch_name","adhoc_search_level","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_search_et","__mv_api_lt","__mv_search_lt","__mv_api_index_et","__mv_api_index_lt","__mv_savedsearch_name","__mv_adhoc_search_level"
"1751455344.634","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=""purchase"" status=200
    [search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie status=200 
    | dedup clientip 
    |  table clientip]
| transaction JSESSIONID,itemId mvlist=true maxspan=10s endswith=""success.do"" maxevents=2
| eval prodId=mvfilter(productId!=""NULL"")
| stats count as countOfPurchases dc(prodId) as differentProducts by clientip","BEER-PC01","1751455344.009785",0,"UI:Search",4308,1751455344,182,10460,completed,"1.539",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455507.635","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| trendline sma(2)","BEER-PC01","1751455507.635550",0,"UI:Search",0,1751455508,0,0,failed,"0.028",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455515.636","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| trendline sma(2) growthPerc","BEER-PC01","1751455515.299915",0,"UI:Search",0,1751455516,0,0,failed,"0.033",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455529.637","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| trendline sma2(growthPerc)","BEER-PC01","1751455529.041352",0,"UI:Search",4308,1751455529,16,4308,completed,"1.139",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455566.638","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart","BEER-PC01","1751455566.635675",0,"UI:Search",0,1751455567,0,0,failed,"0.037",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455571.639","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart growthPerc","BEER-PC01","1751455571.987131",0,"UI:Search",0,1751455572,0,0,failed,"0.036000000000000004",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455625.640","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc)","BEER-PC01","1751455625.239193",0,"UI:Search",4308,1751455625,1,4308,completed,"0.36",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455651.641","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) by date","BEER-PC01","1751455651.457694",0,"UI:Search",4308,1751455651,16,4308,completed,"0.514",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455712.642","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage by date","BEER-PC01","1751455712.272168",0,"UI:Search",4308,1751455712,16,4308,completed,"0.442",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455947.643","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage by timeToSort","BEER-PC01","1751455947.607928",0,"UI:Search",4308,1751455947,0,4308,completed,"0.376",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455955.644","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage by date","BEER-PC01","1751455955.819370",0,"UI:Search",4308,1751455956,16,4308,completed,"0.359",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751455994.645","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| sort date","BEER-PC01","1751455994.668532",0,"UI:Search",4308,1751455995,16,4308,completed,"0.358",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456021.646","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| sort 0 timeToSort","BEER-PC01","1751456021.145796",0,"UI:Search",4308,1751456021,16,4308,completed,"0.353",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456043.647","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage by timeToSort","BEER-PC01","1751456043.347316",0,"UI:Search",4308,1751456043,16,4308,completed,"0.36",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456061.648","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage by timeToSort, date","BEER-PC01","1751456061.444018",0,"UI:Search",4308,1751456061,16,4308,completed,"0.355",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456074.649","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage by timeToSort","BEER-PC01","1751456074.399455",0,"UI:Search",4308,1751456074,16,4308,completed,"0.34600000000000003",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456211.650","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| eval datetime = strptime(date, ""%d/%b/%Y"")
| chart values(growthPerc) as growthPercentage by datetime","BEER-PC01","1751456211.268913",0,"UI:Search",4308,1751456211,16,4308,completed,"0.359",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456280.651","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| eval datetime = strptime(date, ""%d/%b/%Y"")
| chart values(growthPerc) as growthPercentage by datetime","BEER-PC01","1751456280.261360",0,"UI:Search",4308,1751456280,16,4308,completed,"0.373",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456318.652","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| eval datetime = strptime(date, ""%d/%b/%Y"")
| chart values(growthPerc) as growthPercentage by datetime","BEER-PC01","1751456318.049295",0,"UI:Search",0,1751456318,0,0,completed,"0.258","1750539600.000000000","1750539600.000000000","1751144400.000000000","1751144400.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456322.653","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| eval datetime = strptime(date, ""%d/%b/%Y"")
| chart values(growthPerc) as growthPercentage by datetime","BEER-PC01","1751456322.214789",0,"UI:Search",0,1751456322,0,0,completed,"0.28800000000000003","1704060000.000000000","1704060000.000000000","1735682400.000000000","1735682400.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456338.654","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| eval datetime = strptime(date, ""%d/%b/%Y"")
| chart values(growthPerc) as growthPercentage by datetime","BEER-PC01","1751456338.428239",0,"UI:Search",4308,1751456338,16,4308,completed,"0.363",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456345.655","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| eval datetime = strptime(date, ""%d/%b/%Y"")
| chart values(growthPerc) as growthPercentage by timeToSort","BEER-PC01","1751456345.975285",0,"UI:Search",4308,1751456346,16,4308,completed,"0.366",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456438.656","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| eval datetime = strptime(date, ""%d/%b/%Y"")
| chart values(growthPerc) as growthPercentage by date","BEER-PC01","1751456438.326067",0,"UI:Search",4308,1751456438,16,4308,completed,"0.361",,,,,,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456458.657","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| eval datetime = strptime(date, ""%d/%b/%Y"")
| chart values(growthPerc) as growthPercentage by date","BEER-PC01","1751456458.821587",0,"UI:Search",2154,1751456459,8,2154,completed,"0.362","1719824400.000000000","1719824400.000000000","1751456458.000000000","1751456458.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456466.658","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage by date","BEER-PC01","1751456466.579931",0,"UI:Search",2154,1751456466,8,2154,completed,"0.304","1719824400.000000000","1719824400.000000000","1751456466.000000000","1751456466.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456500.659","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200 | eval date=substr(req_time,0,11) | stats sum(other) as income count max(_time) as timeToSort by date | sort 0 timeToSort | streamstats window=2 first(income) as prevIncome last(income) as lastIncome | eval growthPerc=(lastIncome-prevIncome)/prevIncome*100 | reverse  | search date=""03/Jun/2025""","BEER-PC01","1751456500.361653",0,"UI:Search",2154,1751456500,1,2154,completed,"0.303","1719824400.000000000","1719824400.000000000","1751456500.000000000","1751456500.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456663.660","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count as countPurchase max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome first(countPurchase) as prevCount last(countPurchase) as lastCount
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage by date","BEER-PC01","1751456663.880900",0,"UI:Search",2154,1751456664,8,2154,completed,"0.372","1719824400.000000000","1719824400.000000000","1751456663.000000000","1751456663.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456774.661","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count as countPurchase max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome first(countPurchase) as prevCount last(countPurchase) as lastCount
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage values(lastIncome) as income values(lastCount) as purchaseCount by date","BEER-PC01","1751456774.275979",0,"UI:Search",2154,1751456774,8,2154,completed,"0.311","1719824400.000000000","1719824400.000000000","1751456774.000000000","1751456774.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456866.662","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count as countPurchase max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome first(countPurchase) as prevCount last(countPurchase) as lastCount
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage  by date","BEER-PC01","1751456866.545745",0,"UI:Search",2154,1751456866,8,2154,completed,"0.445","1719824400.000000000","1719824400.000000000","1751456866.000000000","1751456866.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456898.663","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count as countPurchase max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome first(countPurchase) as prevCount last(countPurchase) as lastCount
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage  by date, lastIncome","BEER-PC01","1751456898.882621",0,"UI:Search",2154,1751456899,8,2154,completed,"0.316","1719824400.000000000","1719824400.000000000","1751456898.000000000","1751456898.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"1751456909.664","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count as countPurchase max(_time) as timeToSort by date
| sort 0 timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome first(countPurchase) as prevCount last(countPurchase) as lastCount
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse
| chart values(growthPerc) as growthPercentage  by date","BEER-PC01","1751456909.682724",0,"UI:Search",2154,1751456910,8,2154,completed,"0.373","1719824400.000000000","1719824400.000000000","1751456909.000000000","1751456909.000000000",,,,smart,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search3_1751456921.666","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie 
| stats dc(productId) as numProducts
| eval countUnpurchesed=numProducts-[search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase status=200
    | transaction JSESSIONID,itemId mvlist=true maxspan=10s endswith=""success.do"" maxevents=2
    | eval prodId=mvfilter(productId!=""NULL"") 
    | stats dc(prodId) as numPurchesed
    |  return $numPurchesed] 
|  table countUnpurchesed","BEER-PC01","1751456921.717420",0,"UI:Dashboard:tutorialdata_final",79064,1751456922,1,79064,completed,"2.422",,,,,"1833029933770.955","1833029933770.955",search3,"",,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search10_1751456921.673","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
| eval date=substr(req_time,0,11)
| stats sum(other) as income count max(_time) as timeToSort by date
| sort timeToSort
| fields - timeToSort
| streamstats window=2 first(income) as prevIncome last(income) as lastIncome
| eval growthPerc=(lastIncome-prevIncome)/prevIncome*100
| reverse","BEER-PC01","1751456921.854825",0,"UI:Dashboard:tutorialdata_final",4308,1751456924,16,4308,completed,"0.771",,,,,"1833029933770.955","1833029933770.955",search10,"",,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search1_1751456922.680","search source=""tutorialdata.zip:*"" clientip=*","BEER-PC01","1751456922.635156",0,"UI:Dashboard:tutorialdata_final",79064,1751456924,40532,219728,completed,"6.258",,,,,"1833029933770.955","1833029933770.955",search1,"",,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search2_1751456935.682","| tstats count as countcrime where source=""C:\\ChicagoCrimes.csv"" host=""chicago_final_PC"" by ""Primary Type"", Block
| sort Block, -countcrime
| dedup Block
| rename ""Primary Type"" as crime","BEER-PC01","1751456935.594331",0,"UI:Dashboard:chicago_crimes",8332329,1751456936,1238,8332329,completed,"17.177",,,,,"1833029933770.955","1833029933770.955",search2,"",,,,,,,,,,,,,,,,,,,,
